feature,coef,OR
cat__country_group_France,-1.9051275957912162,0.14880365469071996
num__landed_on_get_started,1.5372777951764403,4.651909568418118
num__pre_clicks,1.5346243009404914,4.639582115837513
num__pre_uc_breadth,1.4533922456526538,4.277600603142793
cat__utm_bucket_other,-1.4341836798928296,0.2383098217332327
cat__browser_group_Firefox,-1.2152577613646676,0.2966335437718468
num__pre_duration_s,-1.1625798248256878,0.31267848375717094
num__pre_uc_pageviews,-1.0655516630244184,0.34453773360248807
cat__landing_group_other,-1.0470360818071083,0.3509764745603365
cat__referrer_group_slush.org,-0.9700985662436618,0.37904567515369014
cat__country_group_Switzerland,0.9222107072475318,2.5148438326437685
cat__landing_group_commercial,0.907692326533231,2.4785961380581636
cat__landing_group_home,0.879337588245985,2.409303226935691
cat__channel_type_Organic Social,-0.84653689051413,0.42889768263604483
cat__country_group_Canada,-0.8263130587027879,0.43765994181447904
num__pre_events,-0.7395190346509428,0.4773434459756259
cat__landing_group_use-case,-0.6691086553922443,0.5121648898035113
cat__landing_group_nav-hub,-0.6578027796694311,0.517988219287534
cat__browser_group_other,0.6095220118582731,1.839551904607996
cat__referrer_group_producthunt.com,-0.5940248028148577,0.5521007104854037
cat__referrer_group_google.com,0.5722039516611439,1.7721685242886263
cat__country_group_India,0.563351866193268,1.7565503656712935
num__pre_dead_clicks,-0.5359364069375665,0.5851211220526402
cat__utm_bucket_none,0.48907980468624057,1.6308148610968363
cat__referrer_group_ycombinator.com,-0.47797693835280325,0.6200364958800324
cat__referrer_group_t.co,0.4151512494474224,1.5145998057523158
cat__referrer_group_linkedin.com,0.33375276260707826,1.3961979085678453
cat__browser_group_Safari,0.2599789250200924,1.2969027541782705
num__pre_home_views,0.25980835976625505,1.2966815664948048
cat__country_group_Germany,0.25822326973778104,1.294627837576264
num__pre_uc_group_breadth,-0.2390431203418503,0.7873809295058168
num__pre_solutions_views,-0.22669688483508219,0.7971623776782532
cat__landing_group_get-started,0.22344797010842804,1.2503805814179019
num__pre_about_views,-0.22051333631687597,0.8021069416379573
num__pre_uc_seconds,-0.21695909046639503,0.804962899288201
cat__utm_bucket_newsletter,0.20362907466640723,1.2258433727546116
cat__country_group_other,0.20308817562304649,1.2251804945382367
cat__referrer_group_com.google.android.gm,-0.1993810915408098,0.8192376293056737
cat__country_group_United Kingdom,0.19520861418353616,1.2155645440458516
num__pre_comm_seconds,0.18374364978991603,1.2017077255796453
num__pre_home_seconds,0.17473297460403056,1.190928166085344
num__pre_platform_views,0.16245478211019285,1.176395123140962
cat__country_group_United States,-0.1476736966579649,0.8627125750153101
num__pre_pageviews,-0.13969656557519858,0.8696220686409302
num__pre_labs_views,-0.1333317191788196,0.8751747317090508
cat__channel_type_Organic Search,0.12087288451602093,1.1284814557833474
cat__browser_group_Microsoft Edge,-0.11886004464798192,0.8879320629106037
cat__browser_group_Mobile Safari,0.1002521913993303,1.1054496678236434
cat__referrer_group_$direct,0.09102408774193685,1.0952953881333662
num__pre_comm_breadth,0.08520978560222629,1.088945487822784
num__pre_api_views,-0.07855548332403647,0.9244507669071564
cat__referrer_group_other,0.07259286288849555,1.0752926562359328
num__pre_rageclicks,-0.07171469563641142,0.9307964182117833
num__pre_pricing_views,0.0611576553228341,1.0630664990686287
num__pre_unique_paths,0.05660709701265325,1.0582399430681313
num__visit_hour,0.056397975556212586,1.0580186655277204
cat__device_type_Desktop,0.050773655288573846,1.0520847325158285
num__visit_dow,-0.048812739340436194,0.9523594524607744
num__pre_cross_journey,0.04830095423431267,1.0494864551939773
cat__country_group_China,-0.03616405627450529,0.9644820511710135
cat__channel_type_Referral,0.03119163424518809,1.031683190773666
cat__device_type_Mobile,-0.0073840877022462795,0.9926431076944503
num__pre_comm_pageviews,0.0019358622158742345,1.0019377372068465
cat__browser_group_Chrome,-0.001594276678331927,0.9984069935056337
cat__device_type_Tablet,0.0,1.0
